,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R
PI655977,0.257033844,-0.64832107,1.896942311,-0.251518169,-1.357145903,-0.143372066,0.40353648,-0.397616566,-0.152455006,-0.268133102,0.370443965,0.112116564,-0.618190747,-0.609550022,-1.382839028,-0.332541929,-0.909560266,-1.186458656
PI659693,1.936295423,0.537566266,2.664324318,1.097315992,0.12483219,0.752715958,0.799292774,1.869703933,0.861396494,0.533993415,0.980326746,1.187413165,0.435680012,1.298092966,0.77707178,1.264992187,0.397726997,-0.212869081
PI533769,0.63303016,-1.033727655,1.009806744,0.169476644,-0.448924279,-0.502688353,-0.211376048,0.15107503,-0.204317831,0.29479902,0.293598318,0.088644784,-1.086718173,0.115514628,0.088407183,0.304838738,-0.439264713,-0.931436429
PI533792,1.934264339,-0.491338894,0.17082435,0.462414993,0.299482756,0.169002619,0.396263721,0.523456272,0.563677766,0.404031313,0.904644592,1.18484916,0.041900806,0.656336922,-0.41735342,0.377181483,-0.031436979,-1.004127883
PI533877,0.860054781,-0.269428286,0.987744382,0.905315101,-0.1075929,0.216630668,0.5325286,0.599693448,0.003718013,-0.540668194,0.454021645,1.063729921,-0.263451294,-0.676002823,-0.482172743,0.817263468,-1.291226479,-0.477414589
PI533866,1.519102964,-0.745475697,0.314304604,0.062156767,-0.309554586,-0.212364938,0.432109853,0.245200619,-0.702377568,0.061534254,0.173375657,0.780548032,-0.308027796,-1.437381786,0.094530237,-0.017443203,-0.178553783,-1.622211055
PI533755,1.03543062,0.287088844,0.100759464,-0.10658632,0.345346213,0.210799747,0.774600162,0.545364732,0.118330312,0.637038839,0.799968074,1.155164657,0.58983287,1.012400948,0.089794394,-0.063905212,-0.013075946,-0.191006115
PI533921,1.194029226,0.160668191,1.456843759,1.259670458,0.931836533,-0.762700251,0.600246775,0.396144787,0.270269449,0.374820846,0.518666086,1.037968916,0.281099629,1.010254186,0.444197014,-0.11292428,0.421804253,0.000120344
PI534046,0.17114082,0.387984159,0.229447621,-0.170001171,0.251990184,0.112561308,0.101255608,-0.245698051,0.612569962,0.06685012,0.205771724,0.691451325,0.296906317,0.275176167,0.931054626,0.301039188,0.328681944,1.442645221
PI533760,0.881898568,0.450186412,0.974482583,0.643761821,0.169169389,0.175081665,0.111011783,0.23065773,0.507876419,-1.061983657,0.298281015,0.688137207,0.334218217,-0.361285785,0.204882366,0.268330224,0.075464011,0.166919924
PI641874,1.386133409,-0.362390111,-0.229676646,-0.029687165,-0.085008498,0.144310006,0.14911163,-0.096096246,-0.390962306,0.046934861,0.203207281,0.735295516,-0.124610289,0.576499861,0.583069541,0.87358203,0.145102727,-0.953713757
PI656105,1.956481523,-0.198833167,0.178402281,0.579648894,0.16298287,0.162886392,0.612081232,-0.634048521,0.57472135,-0.234749078,0.260766338,1.004310686,-0.727009476,1.077733657,0.140585473,-0.229324113,-0.732556061,-0.851437429
PI533830,0.292543449,-0.568943527,-1.054478515,0.456553895,-0.492687492,-0.212364938,0.878960177,0.125597445,0.343180242,-0.294640121,0.060133455,0.917241454,-0.414394861,1.217787847,-0.045107741,0.129501185,-0.931231264,-0.396671074
PI533762,1.719933423,0.545174186,-0.41049818,0.880685126,-0.090221402,0.138040393,0.892383197,0.565682474,0.563846166,0.130046449,0.444993301,1.21212191,0.10034911,0.757231258,0.503406155,0.114468884,-0.066996988,1.058125117
PI655982,0.803547617,-0.690401214,-0.137032676,-0.994309959,-0.392148312,-0.475501563,-0.568466525,-2.024392753,-0.848606119,-0.295301088,-0.871419083,-0.853103199,-1.234476769,-1.961924917,-2.078463998,0.028737147,-0.113839648,-1.64081544
PI576393,0.878372411,-0.654516626,0.206555139,0.016352052,-0.382310641,-0.102550072,-0.010684348,-0.565179608,0.059979469,-0.28027475,-0.441419956,-0.214286585,-0.374603676,0.01756133,0.48651755,0.030408747,-0.147220338,-0.048245297
PI656109,0.580149861,-0.360745489,-0.04731167,-0.526687936,0.233838073,0.003610124,-0.072267591,0.530702841,-0.086645095,0.344690984,-0.096901595,-0.260114605,0.214055338,0.560367437,0.545875422,0.195254003,0.599076032,-0.000120344
PI533980,0.771927763,-0.083577914,-0.980904103,0.158549171,-0.733352655,-0.596167149,0.255406288,-0.727239957,0.156368462,-0.339246787,-0.175896081,0.392571049,-0.507526647,-0.915541325,-0.825101313,0.016341553,-1.069957618,-0.876446517
