,A,B,C,D,E,F,G,H,I,J,K,L,M
PI655977,0.262272423,0.462198573,0.008292669,-0.903732585,-1.822474141,0.267256149,0.104451312,0.350895841,1.004109506,-0.934359254,0.109749423,0.322383406,0.34486395
PI656101,-0.029845424,-0.138419703,0.995405265,-0.405215642,-0.582297031,0.262645314,0.118882366,-0.110539258,-0.525220748,-0.804489724,0.392866096,1.103345462,0.333568379
PI533903,-0.320242364,-0.178887174,0.700108651,-0.165009827,-0.344469127,0.187320865,0.163692238,0.598245174,0.039367135,0.726637713,0.97550097,0.349267713,-0.307146562
PI576385,-0.42653194,-0.614764104,-1.215392474,-0.359561664,-1.133968286,-0.198787236,-0.702129421,-0.384336556,-0.475654046,0.118727319,-0.216831082,-0.667546352,0.31799359
PI656023,-1.277480562,0.256799572,0.856167917,-0.848086565,-0.399021416,0.236152294,0.056633361,0.626566243,0.039976153,-0.724454194,-0.26581546,-1.047368613,-1.584345855
PI35038,-1.528681889,-1.986940277,-1.441257357,-1.62307593,-0.761169676,-0.549277905,0.00753494,-0.597577975,-0.457952537,-0.925557305,-1.909058674,-0.218550211,-1.772293314
PI534115,-0.656436131,0.046021606,-0.519094862,-0.394291615,-0.382213701,0.114705716,0.359521499,0.150713614,-0.098664135,-0.187522641,0.569577689,0.458760511,0.291299532
PI656042,-1.550111247,0.638861813,-1.091507465,-0.316944195,-1.215932041,0.643590583,0.622886096,1.163732006,1.659318877,1.43632497,-0.079910635,-0.17167626,-0.722420045
PI533794,-0.314917893,-0.101382416,-1.477685884,0.204711417,-0.057571934,-0.337652673,0.203140657,0.121772622,0.64492918,-0.185477719,-0.106699943,0.370231895,-0.064175591
PI533882,-1.261524939,-0.192799169,-1.920898313,0.017643921,-0.249236931,0.656948203,0.060969782,0.175922832,-0.208915921,1.451958818,-0.251574245,0.700135072,-0.266994388
PI533769,-0.967662267,0.366748882,1.384907437,-0.711874448,-0.281772908,0.535821394,0.70289963,0.167036054,-0.627486177,-0.034185827,0.391443187,1.273909771,-0.162439431
PI533972,-1.478581753,0.070342613,-0.808628161,-1.27391072,-0.442376224,0.137968073,0.076390516,-0.079992667,-0.251097933,0.134486002,0.207586478,-0.019533453,-0.93477684
PI597968,-1.401332028,-1.051960394,-2.659327722,-0.897123161,-1.856546902,-0.848558671,-0.563948202,-0.41295168,-0.207230607,-1.074072764,-1.126211049,-1.212287761,-2.200278631
PI656075,-1.040922407,0.222123534,0.820068685,0.25543321,0.332324219,0.805099517,0.390488245,0.871933737,1.057376025,-0.351060251,-0.026695455,-0.26128868,0.06009784
PI576364,-0.937300162,-0.059736093,-1.007450287,-2.046311327,0.044764792,-0.377697541,0.00095102,-0.265911743,-0.783596796,-1.480277055,-0.519728265,-1.068470321,-2.003951123
PI656007,-0.282328365,0.283536036,-0.712360852,-0.435675508,0.524183353,0.732419873,0.795633093,0.957705653,-0.074266034,-0.134312735,0.78553147,1.658396686,-0.182652175
PI576130,-1.126490018,-0.891776537,0,-0.654696417,-0.430341362,-0.182270954,-0.315430117,-0.741675757,-0.081065524,-0.909024417,0.428294881,0,0.564103073
