"","Massbank_PR310840_LPC_18_3","Massbank_PR310841_LPC_18_3","Massbank_PR310842_LPC_18_3","Massbank_RP012103_PC_16_0_0_0_Palmitoyllysolectithin_3_hexadecanoyloxy_2_hydroxypropyl_2_trimethylazaniumyl_ethyl_phosphate","PC_14_0_18_1_","PC_14_0_18_2_","PC_14_0_18_3_","PC_14_0_20_4_","PC_14_0_22_6_","PC_15_0_0_0_","PC_15_0_18_2_","PC_15_0_18_3_","PC_15_0_20_3_","PC_15_0_20_4_","PC_15_1_18_2_","PC_16_0_16_0_","PC_16_0_16_1_","PC_16_0_18_0_","PC_16_0_18_1_","PC_16_0_18_2_","PC_16_0_18_3_","PC_16_0_20_3_","PC_16_0_20_4_","PC_16_0_20_5_","PC_16_0_22_4_","PC_16_0_22_5_","PC_16_0_22_6_","PC_16_0_18_1_2_3_hexadecanoyloxy_2_octadec_9_enoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_0_20_4_2_3_hexadecanoyloxy_2_icosa_5_8_11_14_tetraenoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_0_20_5_2_3_hexadecanoyloxy_2_icosa_5_8_11_14_17_pentaenoyloxy_propyl_phosphonato_oxy_ethyl_trimethylazanium","PC_16_1_16_1_","PC_16_1_17_1_","PC_16_1_17_2_","PC_16_1_18_1_","PC_16_1_18_2_","PC_16_1_18_3_","PC_16_1_20_4_","PC_16_2_16_0_","PC_16_2_16_1_","PC_16_2_18_1_","PC_16_2_18_2_","PC_16_3_16_0_","PC_17_0_0_0_","PC_17_0_18_1_","PC_17_0_18_2_","PC_17_0_18_3_","PC_17_1_18_1_","PC_17_1_18_2_","PC_17_2_18_2_","PC_18_0_18_2_","PC_18_0_18_3_","PC_18_0_20_2_","PC_18_0_20_3_","PC_18_0_20_4_","PC_18_0_9_0_CHO_","PC_18_1_18_1_","PC_18_1_18_2_","PC_18_1_19_1_","PC_18_1_20_1_","PC_18_1_20_3_","PC_18_1_20_4_","PC_18_1_22_1_","PC_18_1_24_0_","PC_18_1_24_1_","PC_18_1_18_2_trimethyl_2_3_octadec_11_enoyloxy_2_octadeca_9_12_dienoyloxy_propyl_phosphonato_oxy_ethyl_azanium","PC_18_2_0_0_","PC_18_2_18_2_","PC_18_2_18_3_","PC_18_2_20_0_","PC_18_2_20_1_","PC_18_2_20_2_","PC_18_2_20_4_","PC_18_2_22_0_","PC_18_2_24_0_","PC_18_3_0_0_","PC_18_3_18_3_","PC_18_3_20_2_","PC_19_1_19_1_","PC_19_1_22_1_","PC_20_1_20_1_","PC_DAG_16_0_18_3_","Spectral_Match_to_Arachidonoylthio_PC_from_NIST14","Spectral_Match_to_HEPC_from_NIST14","Spectral_Match_to_Lyso_PC_16_0_from_NIST14"
"PI533852","1.906615e+00","1.906615e+00","1.906615e+00","2.973321e+01","1.301819e+01","1.890295e+01","1.906879e+01","7.644445e+01","1.587987e+03","2.859902e-01","1.398798e+02","3.036868e+02","2.243251e+01","4.274922e+00","2.169191e+02","2.433763e+02","2.474653e+01","1.265391e+01","4.284231e+03","1.543263e+04","3.631804e+04","2.565780e+03","4.726913e+03","5.091403e+03","2.183574e+01","8.142092e+00","1.220126e+01","8.864415e+00","2.046060e+02","1.464053e+02","2.343927e+00","1.144471e+02","2.410068e+02","2.572105e+03","8.569688e+02","6.240735e+01","1.203621e+04","4.447754e+00","3.813758e+01","4.073425e+03","1.136060e+02","4.449385e+01","2.395905e+03","2.195004e+00","1.701638e+02","2.210189e+01","1.814441e+02","1.764845e+02","1.832109e+00","1.031185e+03","9.317858e+02","1.768558e+01","1.861453e+02","4.367148e+01","4.079347e-01","1.001676e+03","2.655194e+03","4.853159e+00","2.176345e+01","5.095006e+01","6.742813e+01","2.492402e-01","8.481439e-01","3.040403e+00","9.178071e+01","2.910732e+02","2.678584e+04","6.030023e+03","1.413494e+01","1.584329e+01","7.278580e+00","1.220126e+01","1.661602e-02","1.600212e-01","2.478600e+01","2.268553e+03","3.654468e+00","2.964019e+01","1.619414e-02","6.646406e-02","5.713126e+01","8.840681e+02","4.766503e-02","1.486660e+02"
"PI533824","2.272892e+01","2.272892e+01","2.272892e+01","3.239877e+01","4.382211e+01","1.655043e+02","8.192458e+00","8.792410e+01","1.846924e+03","1.287411e-01","3.049125e+02","2.831420e+02","3.594113e+01","1.705624e+01","2.022443e+02","3.534653e+02","9.663097e+01","2.876633e+02","7.475466e+03","3.181374e+04","2.919552e+04","3.075352e+03","4.524800e+03","6.878594e+03","5.292717e+01","2.020726e+01","1.517889e+01","1.066808e+01","1.370733e+02","8.439797e+00","7.506216e+01","2.494739e+02","2.271984e+02","5.302289e+03","2.645374e+02","8.033588e+01","1.877012e+04","1.991007e+01","1.638492e+01","3.255704e+03","1.376673e+02","1.911574e+01","1.016287e+03","9.486417e+00","3.595270e+02","3.186910e+01","4.010894e+02","2.508807e+02","7.309817e+00","1.821259e+03","2.186550e+02","5.454341e+01","4.269419e+02","1.058543e+02","5.432043e+00","1.153047e+03","2.128487e+03","1.587776e+01","7.092342e+01","1.234967e+02","1.664982e+02","1.151556e+01","1.326022e+01","1.164317e+03","8.285400e+01","1.837898e+03","2.564053e+04","8.563654e+03","4.817454e+01","6.865667e+01","1.764239e+01","1.517889e+01","7.677038e-01","6.127982e+01","2.954760e+02","2.638464e+03","9.659191e+00","1.005875e+02","2.904992e+00","3.070815e+00","1.763583e+01","5.496633e+02","2.145686e-02","1.619939e+02"
"PI655970","5.882645e-01","5.882645e-01","5.882645e-01","1.150775e+01","5.536607e+01","9.010998e+01","1.281298e+01","2.846753e+02","3.625264e+03","3.758738e-02","4.855368e+02","7.574225e+02","1.010532e+02","3.234173e+02","5.410161e+02","5.556953e+02","1.868834e+02","8.052078e+02","1.652426e+04","4.533554e+04","2.299302e+04","1.234095e+04","9.304915e+03","1.779559e+04","2.086395e+02","7.420311e+01","1.544325e+02","4.937805e+01","3.677114e+02","1.482688e+02","2.304992e+02","3.972574e+02","6.070992e+02","7.555923e+03","2.976140e+02","2.018795e+02","4.480133e+04","3.505172e+01","2.562597e+01","2.568007e+03","3.980903e+02","2.989696e+01","1.856387e+03","7.689593e+01","8.007916e+02","9.383512e+01","7.272916e+02","7.434629e+02","1.386074e+02","4.580742e+03","1.102668e+03","1.600166e+02","1.201987e+03","4.172789e+02","6.428643e+00","9.862930e+02","6.303464e+03","1.773455e+01","2.219798e+02","4.868254e+02","6.969059e+02","5.589930e+01","3.220908e+01","1.050485e+03","1.018394e+02","1.694276e+02","5.272785e+04","2.195176e+04","6.891468e+01","1.954604e+02","6.954649e+01","1.544325e+02","3.726620e+00","5.528866e+01","7.647438e+00","5.178949e+03","3.284679e+01","1.549369e+02","4.244188e+00","1.490648e+01","1.984094e+01","1.751942e+03","6.264563e-03","5.753876e+01"
"PI656073","3.078487e-01","3.078487e-01","3.078487e-01","1.485285e+01","7.686701e+01","8.153390e+01","1.320309e+01","1.994493e+02","3.200085e+03","6.467702e-02","4.574128e+02","4.180647e+02","7.254385e+01","1.424530e+02","2.986176e+02","6.028857e+02","1.280009e+02","7.361460e+02","1.026649e+04","3.735611e+04","3.543165e+04","6.312205e+03","6.816648e+03","1.004203e+04","5.427451e+01","5.628220e+01","5.200909e+01","3.031552e+01","2.551915e+02","1.186238e+02","8.248861e+00","3.742468e+02","3.273345e+02","6.226018e+03","4.490576e+02","1.595224e+02","2.657815e+04","2.005130e+01","2.640618e+01","3.956808e+03","2.937041e+02","3.080722e+01","1.441077e+03","6.562470e+01","4.963753e+02","6.838875e+01","4.613509e+02","5.429549e+02","6.105128e+01","2.202666e+03","3.875238e+02","9.290837e+01","6.135780e+02","1.085490e+02","7.308258e+00","3.704036e+02","4.198138e+03","1.513967e+01","1.710371e+02","1.266405e+02","4.853420e+02","5.079263e+01","2.331903e+01","9.569700e+02","1.446246e+02","1.668937e+02","3.862767e+04","1.245648e+04","5.018815e+01","1.056754e+02","1.809150e+01","5.200909e+01","3.386175e+00","5.036684e+01","4.002033e+00","4.571551e+03","2.604097e+01","1.125523e+02","1.295766e+00","1.354470e+01","2.993717e+01","1.035244e+03","1.077950e-02","7.426425e+01"
"PI564163","1.167718e+01","1.167718e+01","1.167718e+01","3.370780e+01","3.165519e+01","5.652493e+01","3.205683e+00","7.466983e+01","9.992000e+02","8.283455e-01","3.509967e+02","4.267170e+02","6.097763e+01","2.474724e+01","3.047979e+02","5.362106e+02","8.543737e+01","2.123138e+02","8.089962e+03","2.603033e+04","3.875595e+04","5.262673e+03","9.452632e+03","4.158251e+03","3.661544e+01","1.478606e+01","1.491382e+01","2.682973e+01","1.743836e+02","5.679371e+01","2.186003e+01","2.871791e+02","3.407700e+02","4.338389e+03","2.948353e+02","4.864157e+01","1.054132e+04","3.133283e+01","6.411366e+00","4.319320e+03","1.008911e+02","7.479928e+00","1.462337e+03","8.115586e+01","8.681619e+02","5.991313e+01","6.822827e+02","4.782406e+02","1.060596e+01","2.018696e+03","3.193065e+02","6.491300e+01","4.789256e+02","7.323088e+01","1.997927e-01","3.299850e+02","9.295929e+03","1.047781e+01","8.023745e+01","8.543603e+01","1.596488e+02","1.137004e+01","2.408607e+01","5.035697e+02","7.527810e+02","1.339539e+03","5.356492e+04","5.106026e+03","5.547674e+01","8.319563e+01","1.220515e+01","1.491382e+01","7.580026e-01","2.650367e+01","1.518034e+02","1.427429e+03","6.660439e+00","1.158199e+02","4.823432e-01","3.032010e+00","1.965568e+01","2.300895e+03","1.380576e-01","1.685390e+02"
"PI656018","1.780308e+01","1.780308e+01","1.780308e+01","9.663219e+01","6.269503e+00","3.430282e+01","1.780568e+01","6.367065e+01","1.166774e+03","6.954998e-01","1.537404e+02","2.539570e+02","2.166617e+01","4.212689e+00","1.813978e+02","3.008409e+02","2.342236e+01","1.306620e+01","7.408414e+03","9.042002e+03","3.666405e+04","2.609385e+03","3.151226e+03","5.193469e+03","9.044676e+00","8.535957e+00","6.261102e+00","9.694576e+00","1.063992e+02","8.977280e+01","1.188539e+00","1.257876e+02","1.984191e+02","1.507000e+03","4.340873e+02","5.044075e+01","1.246328e+04","8.071253e+00","3.561135e+01","4.093076e+03","9.336387e+01","4.154658e+01","3.638004e+03","6.950041e+00","1.086377e+02","2.142772e+01","1.250161e+02","1.711833e+02","1.805438e+00","6.739896e+02","6.321456e+02","2.348355e+01","3.976514e+01","1.808935e+01","1.308160e+00","2.544434e+02","2.738979e+03","1.603968e+01","4.594406e+01","2.110424e+01","7.325793e+01","2.075012e+00","5.766664e+00","6.297221e+00","1.709734e+02","8.358846e+02","1.785695e+04","6.093888e+03","3.411537e+01","5.441316e+00","3.014892e+00","6.261102e+00","1.383341e-01","3.314327e-01","2.314401e+02","1.666820e+03","3.761298e+00","7.037442e+01","2.091278e-01","5.533366e-01","2.893915e+01","8.677666e+02","1.159166e-01","4.831609e+02"
"PI533986","5.725280e+00","5.725280e+00","5.725280e+00","2.173374e+01","3.191787e+01","7.947028e+00","5.943727e+00","4.779291e+01","1.906384e+03","1.162428e-01","1.014356e+02","2.794257e+02","3.278044e+01","3.995478e+00","1.995898e+02","2.078847e+02","7.690033e+01","6.029595e+01","6.050077e+03","1.048000e+04","1.490879e+04","3.181118e+03","1.977978e+03","4.482408e+03","1.357411e+01","1.168946e+01","7.824935e+00","1.582554e+01","5.300879e+01","9.806613e+01","2.214806e+00","8.299276e+01","2.113339e+02","1.746666e+03","1.265475e+03","4.722063e+01","1.105238e+04","1.869889e+00","1.188745e+01","1.712776e+03","7.773835e+01","1.386870e+01","2.015887e+03","5.321778e+00","8.080415e+01","3.241837e+01","1.016256e+02","2.589848e+02","1.712348e+00","8.159470e+02","1.388934e+03","1.413575e+01","5.525984e+01","2.714821e+01","2.127410e-01","8.166659e+02","2.656301e+03","6.003872e+00","2.006583e+01","3.167291e+01","9.886198e+01","2.282431e-01","2.790296e+00","2.032109e+00","2.950736e+00","1.611923e+02","1.120854e+04","5.442388e+03","2.133582e+01","6.211003e+00","4.524702e+00","7.824935e+00","1.521621e-02","1.069531e-01","7.442864e+01","2.723406e+03","5.219481e+00","4.342149e+01","2.178737e-02","6.086484e-02","8.436502e+01","1.021325e+03","1.937380e-02","1.086687e+02"
"PI655990","1.243003e+01","1.243003e+01","1.243003e+01","6.359322e+01","3.514916e+01","5.898400e+01","3.871480e+00","7.760388e+01","1.675892e+03","5.899972e-01","1.966355e+02","4.164983e+02","2.733899e+01","9.570599e+00","2.974988e+02","2.474003e+02","1.645238e+01","1.629901e+01","4.028429e+03","1.125813e+04","2.874532e+04","2.819920e+03","3.552506e+03","8.183743e+03","2.853038e+01","1.020703e+01","1.480869e+01","6.454832e+00","1.266189e+02","1.775883e+02","7.409629e+00","1.608836e+02","3.245123e+02","1.876355e+03","2.386383e+03","6.226951e+01","2.101186e+04","9.208014e+00","7.742960e+00","3.299986e+03","1.144419e+02","9.033453e+00","4.698246e+03","7.637940e+00","1.129558e+02","2.690441e+01","1.360790e+02","2.148007e+02","4.101685e+00","1.041162e+03","1.016524e+03","9.515367e+00","1.136723e+02","5.706077e+01","5.453229e-01","1.018366e+03","2.216475e+03","5.634799e+00","1.468931e+01","6.657090e+01","8.762892e+01","6.102342e-01","2.711251e+00","3.182148e+00","3.048431e+01","7.187607e+02","2.013087e+04","1.010909e+04","1.423602e+01","1.514234e+01","9.510128e+00","1.480869e+01","4.068228e-02","1.674815e-01","1.615904e+02","2.394131e+03","4.790645e+00","2.906106e+01","5.368725e-02","1.627291e-01","1.590922e+02","8.379115e+02","9.833287e-02","3.179661e+02"
"PI533788","1.350853e+01","1.350853e+01","1.350853e+01","4.019298e+01","3.211796e+01","1.044754e+01","1.102727e+01","1.536427e+01","2.090363e+03","4.188063e-01","1.248108e+02","2.081098e+02","2.733049e+01","2.773978e+00","1.486498e+02","2.080769e+02","1.709361e+01","8.454970e+01","2.532055e+03","1.198985e+04","2.777102e+04","1.824026e+03","2.139599e+03","4.991471e+03","1.721659e+01","1.350451e+01","6.006603e+00","5.403054e+00","7.704948e+01","4.043387e+01","4.834489e+00","1.021179e+02","1.711153e+02","1.998308e+03","4.292947e+02","1.548901e+01","1.256054e+04","8.432178e+00","2.205455e+01","3.104749e+03","2.524360e+01","2.573031e+01","1.531425e+03","4.503567e+00","2.227912e+02","2.698224e+01","1.968916e+02","2.155096e+02","1.188848e+00","5.306835e+02","4.586785e+02","9.430816e+00","3.907650e+01","3.443319e+01","7.633442e-01","9.878598e+01","1.349094e+03","5.197660e+00","1.348312e+01","4.017205e+01","1.069387e+02","1.854638e+00","3.342110e+00","1.005838e+01","5.700704e+01","4.950883e+02","1.212439e+04","5.876988e+03","1.569909e+01","6.454186e+00","5.738865e+00","6.006603e+00","1.236425e-01","5.293882e-01","1.756109e+02","2.986233e+03","5.592814e+00","3.182874e+01","2.274617e-01","4.945702e-01","2.861965e+01","5.273472e+02","6.980106e-02","2.009649e+02"
"PI656092","8.690649e+00","8.690649e+00","8.690649e+00","6.703624e+01","2.554334e+01","8.164941e+01","1.315356e+01","3.545636e+01","6.793031e+02","6.286116e-01","1.898555e+02","2.777219e+02","2.599222e+01","2.345687e+01","1.983728e+02","2.127042e+02","2.594030e+01","8.921995e+02","8.394202e+03","1.655094e+04","1.846220e+04","4.702385e+03","4.216647e+03","3.307435e+03","4.706782e+01","1.303894e+01","2.974577e+01","2.929469e+01","1.534546e+02","3.632470e+01","3.973557e+01","1.553363e+02","2.141562e+02","2.758490e+03","3.683237e+02","2.240784e+01","8.446658e+03","1.445497e+01","2.630711e+01","2.067726e+03","4.734344e+01","3.069163e+01","2.103788e+03","7.623779e+00","2.848731e+02","2.385176e+01","2.720134e+02","1.886736e+02","1.005294e+01","1.140552e+03","4.823500e+02","4.810586e+01","2.486140e+02","9.413564e+01","2.157774e-01","2.469538e+02","4.170914e+03","7.799347e+00","9.398598e+01","1.098249e+02","8.556477e+01","2.544920e+01","3.805111e+01","2.575961e+02","2.935744e+02","1.026948e+03","2.389433e+04","4.006610e+03","3.338487e+01","4.315330e+01","1.568927e+01","2.974577e+01","1.696613e+00","1.355769e+01","1.129784e+02","9.704331e+02","4.866835e+00","7.304698e+01","2.672282e+00","6.786452e+00","2.455491e+01","1.175954e+03","1.047686e-01","3.351812e+02"
"PI534133","3.051384e+01","3.051384e+01","3.051384e+01","4.011616e+01","3.261563e+01","1.221923e+01","1.121737e+00","3.502712e+01","1.282985e+03","5.332531e-01","3.235049e+02","4.354077e+02","3.022046e+01","1.630283e+01","3.110055e+02","3.003130e+02","6.600224e+01","2.494226e+02","4.920895e+03","1.150035e+04","1.829535e+04","2.106720e+03","1.987217e+03","3.052592e+03","1.401577e+01","1.126837e+01","4.023844e+00","9.378871e+00","5.531506e+01","5.916343e+01","1.037814e+01","2.646858e+02","3.229078e+02","1.916725e+03","2.722845e+02","2.206657e+01","8.097006e+03","1.210084e+01","2.243475e+00","2.044919e+03","4.671302e+01","2.617387e+00","2.432067e+03","9.470597e+00","2.458923e+02","2.980614e+01","2.260354e+02","2.380348e+02","6.986926e+00","6.178376e+02","5.249471e+02","1.685811e+01","1.337840e+02","2.803155e+01","1.438717e-01","1.552699e+02","1.569558e+03","6.082524e+00","3.259493e+01","3.270347e+01","8.364983e+01","3.800245e+00","2.155719e+01","4.055415e+01","8.983377e+01","1.233925e+03","1.126090e+04","3.755906e+03","2.222143e+01","1.552653e+01","4.671925e+00","4.023844e+00","2.533497e-01","2.134429e+00","3.966800e+02","1.832836e+03","4.742929e+00","4.607408e+01","6.581506e-01","1.013399e+00","1.815230e+01","6.254372e+02","8.887552e-02","2.005808e+02"
"PI533936","2.760785e+00","2.760785e+00","2.760785e+00","1.114782e+01","4.466659e+01","3.405871e+01","2.733993e+01","1.405378e+02","5.459132e+03","3.371539e-01","2.142207e+02","3.412496e+02","4.467748e+01","7.270746e+00","2.437497e+02","3.522916e+02","3.355120e+01","4.783225e+02","1.068007e+04","1.766754e+04","4.560721e+04","3.653653e+03","4.314303e+03","1.077687e+04","4.049000e+01","4.770772e+01","2.930218e+01","1.862379e+01","1.373701e+02","1.401531e+01","2.059608e+01","1.752715e+02","2.701276e+02","2.944591e+03","6.859516e+01","1.108978e+02","2.903435e+04","1.417471e+01","5.467986e+01","5.070516e+03","2.057200e+02","6.379317e+01","1.759034e+03","4.858740e+01","2.485837e+02","4.209236e+01","2.984015e+02","3.341537e+02","3.116034e+00","1.687842e+03","3.231649e+02","4.238002e+01","3.807457e+02","8.098000e+01","6.092905e+00","2.878299e+02","2.592388e+03","7.717793e+00","6.177985e+01","9.447666e+01","3.391794e+02","8.809186e+00","2.077847e+01","4.964501e+02","1.349939e+02","2.054151e+02","2.444772e+04","1.326141e+04","2.507171e+01","6.569483e+01","1.349667e+01","2.930218e+01","5.872791e-01","2.612895e+01","3.589020e+01","7.798760e+03","2.025095e+01","5.451686e+01","3.386989e-01","2.349116e+00","4.573011e+00","7.213608e+02","5.619231e-02","5.573911e+01"
"PI655978","2.583577e+01","2.583577e+01","2.583577e+01","4.017518e+01","1.718511e+01","5.858776e+01","1.042813e+01","5.197790e+01","1.905723e+03","4.217167e-01","1.899443e+02","2.003906e+02","4.414026e+01","5.607644e+00","1.431361e+02","3.378219e+02","4.439102e+01","2.601620e+02","6.542473e+03","1.569110e+04","2.689037e+04","3.261301e+03","3.445598e+03","3.745815e+03","2.589322e+01","1.785270e+01","1.581634e+01","1.380282e+01","8.321800e+01","4.514296e+01","2.875330e+01","1.554090e+02","1.568590e+02","2.615183e+03","4.432052e+02","4.391991e+01","9.670245e+03","7.136469e+00","2.085625e+01","3.007517e+03","7.846185e+01","2.433229e+01","2.681742e+03","4.205537e+01","2.454165e+02","4.391447e+01","2.225051e+02","3.510899e+02","2.403276e+00","8.000665e+02","4.107385e+02","4.800499e+01","6.009737e+01","5.178645e+01","1.474994e-01","1.312298e+02","4.167485e+03","1.579489e+00","7.766266e+01","6.041752e+01","1.138714e+02","2.929139e+00","7.242445e+00","2.897828e+02","2.987245e+02","1.722066e+03","1.952505e+04","4.524662e+03","2.555340e+01","9.786137e+00","8.631075e+00","1.581634e+01","1.952759e-01","1.525173e+01","3.358650e+02","2.722462e+03","6.235169e+00","5.671354e+01","2.357111e-01","7.811038e-01","2.954701e+01","1.171373e+03","7.028612e-02","2.008759e+02"
"PI576394","1.688109e+00","1.688109e+00","1.688109e+00","2.746880e+01","2.354320e+01","1.251327e+01","2.033477e+00","1.831458e+01","8.093368e+02","2.186111e-01","1.332109e+02","1.891281e+02","6.284248e+00","1.544171e+00","1.350915e+02","1.262423e+02","1.733389e+01","1.044489e+02","4.634116e+03","6.957165e+03","1.726163e+04","1.436571e+03","1.278046e+03","2.006168e+03","2.202473e+01","1.820302e+01","4.482839e+00","8.259631e+00","3.946343e+01","1.250953e+01","7.118024e+00","1.089908e+02","1.488591e+02","1.159528e+03","3.584453e+02","1.320002e+01","5.035761e+03","5.990868e+00","4.066955e+00","1.933890e+03","2.578467e+01","4.744780e+00","1.847359e+03","1.031163e+01","1.662719e+02","6.148567e+00","1.398322e+02","4.905285e+01","6.617876e-01","3.645220e+02","1.694903e+02","3.255605e+01","8.586916e+01","4.404947e+01","5.821277e-01","1.333879e+02","1.410512e+03","4.240299e+00","4.063932e+01","5.139105e+01","1.188283e+02","2.631457e+00","4.130012e+00","2.078090e+01","8.362024e+01","1.596477e+02","7.242263e+03","2.472770e+03","1.953624e+01","1.422819e+01","7.341578e+00","4.482839e+00","1.754305e-01","1.093731e+00","2.194542e+01","1.156195e+03","7.000246e+00","4.196944e+01","1.404651e-01","7.017219e-01","2.389636e+01","3.979300e+02","3.643519e-02","1.373440e+02"
"PI597957","3.434454e+00","3.434454e+00","3.434454e+00","2.638976e+01","1.566676e+00","4.712024e+01","2.555338e+00","8.867568e+00","5.760398e+02","1.327705e-01","1.335832e+01","1.561221e+02","8.419356e+00","1.917675e+00","1.115158e+02","9.775133e+00","6.782323e+00","1.225621e+01","2.254957e+03","4.169884e+03","9.864872e+03","1.306405e+03","1.160907e+03","2.335298e+03","9.790376e+00","5.548089e+00","4.408622e+00","4.742264e+00","3.058460e+01","3.118875e+01","9.209640e-01","1.092953e+01","1.220676e+02","6.949806e+02","8.190862e+01","8.109598e+00","2.928987e+03","9.215680e+00","5.110675e+00","1.099737e+03","1.389041e+01","5.962454e+00","1.831199e+03","2.149533e+00","5.623532e+01","8.375667e+00","7.308557e+01","6.696165e+01","8.218609e-01","4.163469e+02","3.545245e+02","8.618179e+00","4.251215e+01","1.958075e+01","3.444569e-02","3.523890e+02","9.009269e+02","1.808037e+00","3.228342e+01","2.284421e+01","4.624162e+01","1.063808e-01","1.073049e+01","8.845454e+01","2.327250e+00","1.927861e+02","6.578472e+03","2.701010e+03","1.486099e+01","5.510264e+00","3.263459e+00","4.408622e+00","7.092052e-03","4.655502e+00","4.464790e+01","8.229140e+02","2.349382e+00","3.140111e+01","2.125314e-02","2.836821e-02","5.460575e+00","3.027947e+02","2.212841e-02","1.319488e+02"
"PI574455","4.500657e+00","4.500657e+00","4.500657e+00","4.012947e+01","3.902590e+01","7.581602e+01","4.158168e+00","5.843088e+01","1.374634e+03","3.454665e-01","2.206377e+02","2.897291e+02","2.746041e+01","2.682360e+01","2.069494e+02","3.078401e+02","2.072185e+01","6.317855e+02","1.432701e+04","2.178480e+04","2.591820e+04","4.659212e+03","4.574989e+03","2.630843e+03","3.113305e+01","1.637299e+01","3.863815e+01","2.405340e+01","1.359920e+02","2.462825e+01","1.444205e+01","1.805218e+02","2.295887e+02","3.630800e+03","9.684394e+01","4.788429e+01","6.468557e+03","1.743789e+01","8.316335e+00","2.884105e+03","8.698514e+01","9.702391e+00","2.019149e+03","5.445371e+01","2.028827e+02","2.532216e+01","2.187301e+02","2.004390e+02","1.149583e+01","1.320246e+03","4.200423e+02","4.985531e+01","2.869331e+02","6.226611e+01","1.957803e-01","4.622424e+02","3.048609e+03","1.062243e+01","1.160268e+02","7.264379e+01","1.041804e+02","1.451810e+01","2.436701e+01","2.432439e+02","1.335353e+02","2.908144e+02","2.592494e+04","3.206665e+03","3.723621e+01","4.479653e+01","1.037768e+01","3.863815e+01","9.678734e-01","1.280231e+01","5.850854e+01","1.963762e+03","6.134473e+00","8.206541e+01","4.070406e-01","3.871494e+00","6.456263e+00","8.419502e+02","5.757776e-02","2.006474e+02"
"PI656117","1.572473e+01","1.572473e+01","1.572473e+01","1.712107e+01","6.407144e+01","3.769644e+01","6.458401e+00","6.592512e+01","3.749834e+03","1.803929e-01","2.162269e+02","3.375685e+02","6.427178e+01","6.405813e+00","2.411203e+02","5.138794e+02","1.148631e+02","1.793315e+02","1.189284e+04","2.127700e+04","3.971801e+04","4.329351e+03","4.350609e+03","9.356590e+03","1.693560e+01","2.277471e+01","2.546829e+01","1.276699e+01","1.377017e+02","1.440046e+01","2.267042e+01","1.769129e+02","2.590975e+02","3.546167e+03","3.048816e+02","6.413848e+01","2.469711e+04","1.622481e+01","1.291680e+01","4.426662e+03","1.064157e+02","1.506960e+01","1.665454e+03","7.109500e+01","4.757572e+02","5.205640e+01","3.074269e+02","4.042358e+02","2.745349e+00","1.904266e+03","3.690271e+02","1.741227e+01","2.827744e+02","3.387120e+01","2.487502e+00","4.540745e+02","2.888664e+03","8.963166e+00","1.952892e+02","3.951640e+01","1.749603e+02","1.108429e+01","7.362904e+00","3.859454e+02","1.368362e+02","7.976229e+02","2.465345e+04","1.134667e+04","3.587420e+01","4.434890e+01","5.645200e+00","2.546829e+01","7.389525e-01","2.031292e+01","2.044215e+02","5.356906e+03","9.672848e+00","8.338825e+01","1.058525e+00","2.955810e+00","2.032544e+01","8.030312e+02","3.006549e-02","8.560537e+01"
"PI641824","2.800291e-01","2.800291e-01","2.800291e-01","3.093759e+01","1.397748e+01","1.889061e+02","7.699802e+00","1.550292e+02","1.294892e+03","2.150039e-01","3.581168e+02","7.059471e+02","7.601905e+01","1.632382e+02","5.042479e+02","3.964672e+02","7.331003e+01","6.314966e+02","8.295488e+03","2.668985e+04","2.898216e+04","1.230809e+04","1.507578e+04","8.846456e+03","1.009251e+02","4.768804e+01","7.426383e+01","5.857237e+01","3.467854e+02","8.695269e+01","9.362973e+01","2.930047e+02","5.471443e+02","4.448309e+03","1.073871e+02","9.452529e+01","2.351128e+04","3.468344e+01","1.539960e+01","3.225013e+03","2.041809e+02","1.796620e+01","1.683225e+03","1.047513e+02","3.815246e+02","7.087636e+01","4.106847e+02","5.618682e+02","6.995923e+01","5.568782e+03","7.514845e+02","1.124099e+02","1.016460e+03","2.018502e+02","2.348351e+00","1.267481e+03","6.381860e+03","2.725844e+01","1.379798e+02","2.354919e+02","4.181810e+02","3.917909e+01","6.142008e+00","3.186826e+02","1.120202e+02","4.259892e+02","8.542944e+04","1.094218e+04","7.383036e+01","1.714413e+02","3.364170e+01","7.426383e+01","2.611939e+00","1.677277e+01","3.640378e+00","1.849846e+03","1.806606e+01","1.571786e+02","1.737397e+00","1.044776e+01","7.159142e+00","1.580330e+03","3.583398e-02","1.546880e+02"
