,PC_18_3__0_0,PC_18_2__0_0,PC_15_0__0_0,PC_17_0__0_0_1,PC_18_0__9_0_CHO,PC_17_0__0_0_2,PC_18_3__18_3__PC_14_0__22_6,PC_16_3__16_0_PC_14_0__18_3__PC_16_2__16_1,PC_16_2__18_2__PC_14_0__20_4__PC_16_1__18_3,PC_16_1__20_4__PC_16_0__20_5__PC_18_2__18_3,PC_16_0_20_5,PC_16_1__16_1,PC_16_1__17_2__PC_15_0__18_3__PC_15_1__18_2,PC_17_2__18_2__PC_15_0__20_4,PC_14_0__18_2_PC_16_2__16_0,PC_16_2__18_2__PC_16_1__18_3__PC_14_0__20_4,PC_18_2__18_3__PC_16_0__20_5__PC_16_1__20_4,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_1,PC_16_1__17_2__PC_15_1__18_2__PC_15_0__18_3,PC_16_1__17_1__PC_15_0__18_2,PC_18_2__18_2__PC_16_0__20_4,PC_14_0__18_2__PC_16_2__16_0,PC_16_0__18_3__PC_16_2__18_1,PC_16_0_20_4,PC_16_0__20_5__PC_18_2__18_3__PC_16_1__20_4,PC_18_2__20_4__PC_16_0__22_6_1,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_2,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_1,PC_16_0__16_1__PC_14_0__18_1_1,PC_16_1__18_2__PC-DAG_16_0__18_3__PC_16_0__18_3,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_2,PC_16_0__18_1_1_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_2,PC_18_2__20_4__PC_16_0__22_6_2,PC_18_1__18_2__PC_16_0__20_3,PC_16_0__18_2__PC_16_1__18_1,PC_16_0__16_1__PC_14_0__18_1_2,PC_18_2__20_1__PC_18_0__20_3,PC_16_0__18_1_2_1,PC_17_1__18_1__PC_17_0__18_2_1,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2,PC_18_2__20_4__PC_16_0__22_6_3,PC_18_2__20_2__PC_18_0__20_4__C_18_1__20_3__PC_16_0__22_4,PC_16_0__16_0_1,PC_16_0__18_0,PC_18_1__18_2__PC_18_0__18_3__PC_16_0__20_3,PC_17_1__18_1__PC_17_0__18_2_2,PC_16_0__18_1_1_2,PC_16_0__18_1_2_2,PC_18_1__18_1_PC_18_0__18_2,PC_16_0__16_0_2,PC_16_0__18_1_3,PC_18_1__20_1__PC_19_1__19_1__PC_18_2__20_0,PC_18_1__20_4,PC_18_0__18_2__PC_18_1__18_1,PC_18_2__20_1__PC_18_0__20_3_1,PC_17_0__18_1,PC_18_1__18_1__PC_18_0__18_2_1,PC_18_2__20_1__PC_18_0__20_3_2,PC_18_1__19_1,PC_18_0__20_2__PC_19_1__19_1__PC_18_1__20_1__PC_18_2__20_0,PC_18_0__20_2__PC_18_1__20_1__PC_19_1__19_1,PC_18_1__22_1__PC_20_1__20_1__PC_18_2__22_0,PC_19_1__22_1,PC_18_1__24_1__PC_18_2__24_0,PC_18_1__24_0,LPC_18_3
PI656010,403.83423,1154630.1,2136.248,44705.535,193845.61,5910.809,7541.1206,10606.089,7866.831,10606.089,8557.916,2002.8156,159015.05,6051.9424,70803.664,58371.918,67056.03,9663.748,21380.803,3416616.2,13421.171,7779153,672590.5,923415.7,18947.898,748115.5,46448.465,2470.1,10948.626,3188.077,80825.695,21896.385,6353.132,490125.34,6963.565,30387.291,2909247.8,54133.125,5206451,634401.75,12486.276,25319.463,185775.16,742725.9,12245.066,80690.35,701010.2,13939.391,56233.055,603104.25,16218.757,9367.016,64207.582,15723.474,2695.592,10853.924,36400.94,1119.8773,2488.9517,50504.14,14576.332,10959.529,44732.027,2077.3643,2865.8586,90839.79,811.37354,44705.535
PI534163,0,267615,877.8997,9809.262,28643.008,396.08118,2540.4558,692.8154,1154.0688,692.8154,1291.5168,2536.6772,67774.75,17078.963,25877.553,25877.553,10070.273,450.13828,1455.7731,2654962.5,94187.12,2611153,329240.56,126261.03,32677.941,228677.9,4692.9062,111.269165,6151.7026,514.23114,26069.293,4458.8906,289.58047,340861.75,11164.604,13818.394,1084213.1,3135.428,268442.16,92733.96,20317.629,7811.4326,134720.05,8052.11,12302.313,10463.512,104257.95,3022.9224,33929.367,58368.992,2151.1555,1049.4011,942.64124,3866.2183,4395.8345,3866.2183,2671.2966,1898.669,601.74146,2507.3145,16707.246,483.5302,33642.766,300.72034,582.55206,1492.0015,1400.5815,9809.262
PI655985,112.82353,709131.44,1821.5756,17696.395,40352.3,821.8977,2745.9583,1827.6316,5679.167,1827.6316,905.24634,806.08325,29799.982,2408.4536,51290.234,36940.254,43451.688,1844.3961,3322.4688,3234008,31019.71,5400293.5,393102.3,7852.131,32937.234,325688.38,11132.757,226.369,20946.623,415.94775,15919.757,6980.0654,606.7074,333949.9,18836.422,71710.84,1610445.6,19040.082,2287069,201134.2,156594.34,44438.617,200992.38,268758.94,32827.723,7074.8613,190218.62,2585.1997,57371.906,162132.34,8579.163,3670.6262,8606.957,1767.4304,6289.0273,9862.437,3720.187,807.1231,1203.0677,7522.485,2197.8506,8796.366,24562.197,817.16034,433.5011,4331.2505,1074.3596,17696.395
PI561072,0,380303.53,713.4552,9297.862,13242.737,1448.2278,7662.879,1398.4323,2895.531,1609.0543,1383.6644,746.9228,44381.75,21035.084,20085.979,20085.979,4770.1562,675.8897,1629.0735,1956931.1,41429.92,1845545.1,251093.64,129288.01,29063.822,179602.67,9874.219,85.62915,13173.107,1767.8965,11662.117,6285.682,673.7012,165942.19,8036.1655,32873.227,930328.9,2178.209,765381.2,86895.39,8926.632,5374.1826,148636.44,91021.8,1865.6711,5125.415,51545.32,1576.3,37741.33,30324.877,3472.9988,439.10812,902.25916,968.0243,1723.6134,968.0243,4477.707,508.7308,1559.4272,2287.2583,1295.4308,662.27234,44631.773,453.69223,593.2701,16225.707,624.6229,9297.862
PI576390,0,718652.94,5087.9214,4638.8306,57321.367,1033.901,17909.209,18593.543,20100.537,21868.184,1565.9734,12144.114,130872.07,26162.012,121934.37,82853.2,89326.85,2213.1992,33419.62,4444916,38607.086,11628435,1895864.5,1227695.6,480238,1236631.8,100627.984,7162.1543,66484.86,11915.206,75154.75,100207.01,13929.802,327731.06,10288.059,64599.266,2719438,102811.42,6812572.5,144047.58,11444.986,101488.76,418664.3,1311825,106309.414,218759.19,682933,19500.844,131864.88,649456.8,3516.5586,18281.197,147341.25,22444.973,48338.91,15697.899,55826.043,2201.8604,6769.8228,63142.836,9991.041,18581.879,91128.016,8450.013,1864.3479,24392.615,969.9314,4638.8306
PI533989,110.7424,314241.06,1799.5499,5555.264,42787.63,370.56793,412.0213,2746.4087,1751.6794,2880.5295,2016.2775,1610.2167,53764.27,6764.1274,42253.785,12279.913,7476.0137,683.4104,1933.0369,1423620.4,75231.31,3180873.8,283992.9,120761.06,166749.77,410716.84,37624.63,793.1945,5357.6187,1178.181,13517.253,14897.921,1531.764,99155.65,4182.898,8522.246,771877.1,26972.7,1479659.6,156346.98,11998.467,30980.55,128617.81,284784.56,12443.016,16331.34,169826.6,1617.5281,49294.957,124262.19,5672.303,1273.9666,8774.169,8910.917,1962.9064,2937.142,8256.407,657.3496,3707.6423,7450.174,8094.4062,9291.988,55762.367,1185.6656,438.9013,29379.857,8586.475,5555.264
PI655993,0,2431753.8,23404.729,8704.024,36942.477,224.34471,12921.206,833.2272,3274.8716,3274.8716,2540.088,592.27045,5398.137,10578.202,75898.18,60946.66,7156.7686,2699.0989,2928.785,2505959,210386.31,6484193,316719.97,12772.736,331681.7,424604.84,1054.8203,1474.4454,9814.633,2147.3657,30835.447,2321.211,489.40857,353033.1,4184.198,230662.19,3267830.8,25456.492,4340904.5,5361.249,5486.263,87452.64,189529.81,638533.1,254695.4,5052.9697,325348.66,12854.219,323131.28,240807.03,10130.482,2773.2002,13529.212,2643.3052,4825.9893,13102.164,26223.209,724.7529,9102.829,4157.8516,1513.0724,1932.2019,27642.162,427.47955,337.6188,431.4864,280.38943,8704.024
PI533863,0,518038.9,1238.2795,6714.296,14540.425,1543.4742,3707.8086,859.6941,3131.2097,466.2768,676.0828,1457.8802,63081.48,5636.8613,27445.76,27445.76,2263.6506,1051.1335,744.76105,1330848.8,56385.945,1771572.2,178425.12,54230.492,36431.21,217355.33,14192.756,59.62797,3366.4746,207.03857,12299.767,4181.193,869.479,172532.05,2399.4683,48731.996,832298.06,16254.643,553460.75,17038.104,17038.104,5343.995,82658.86,112209.01,7866.246,8358.794,58694.508,5064.2656,28872.383,2652.571,883.1666,514.2276,1170.4697,931.8549,6213.543,931.8549,1188.0542,1037.2374,1051.7515,1977.3438,1593.9292,710.53613,34153.36,428.6554,667.7085,3477.926,808.4729,6714.296
PI533841,60.09922,1073297.2,4384.894,17052.117,38158.508,294.72812,9974.996,657.9324,2514.617,2514.617,850.5432,1115.0975,55694.285,23064.1,62617.645,51989.39,28744.031,2506.5293,1436.761,4532616,314997.53,4181977.2,275786.16,18615.85,427508.8,253764.58,2896.3086,831.5837,2609.7842,332.2442,19589.914,2390.2969,321.94525,668654.56,12415.13,259198.48,3057413.8,2465.0664,2289550,4132.8613,384.9949,220335.2,199361.19,148841.36,191430.94,4468.302,196878.16,1989.2032,319967.53,287211.8,3428.3716,3732.4077,8713.404,7256.509,9632.226,15420.222,9435.996,2058.384,3979.2974,9926.338,1530.8602,594.3119,4280.0107,60.216217,0,524.8678,1620.7593,17052.117
PI576428,0,591350.94,1243.2911,8367.627,13017.207,410.6825,6447.3486,1922.1173,1760.6223,1296.5024,751.9076,1336.2605,44393.156,22132.39,51250.426,29731.87,6636.705,2344.1516,1823.5917,1441682.2,25476.303,2795975,162788.05,385775.7,49563.957,493365.38,23104.635,109.88101,20968.424,1147.6888,28782.96,3485.7112,754.668,297412.7,5377.665,24836.258,1479154.9,21546.588,527677.2,72281.7,72741.58,29843.377,166013.66,202588.38,13379.43,26736.996,143486.47,1217.8602,62496.004,94342.77,2272.2827,1577.3994,9255.98,1020.57086,4518.6255,1020.57086,3393.7961,380.21982,1494.8872,3418.099,1738.3647,1350.1244,38037.836,635.11957,535.4249,5754.533,2459.0828,8367.627
PI576387,249.71675,2679327.5,21181.176,43909.25,105077.734,87.50809,10970.48,446.3753,4855.319,4855.319,793.13904,7736.118,92157.06,38839.68,39495.074,33687.99,2406.5264,1403.4594,946.1445,2312454.2,88978.28,4744908.5,149063.06,7127.661,175909.9,121219.945,676.4658,315.90994,3211.6096,152.53848,28082.064,2228.8655,811.7497,281359.5,13684.595,121141.34,2024751.4,1333.0623,1471150,133505.27,533.22577,62266.12,124209.12,45544.82,160128.89,1615.1069,179327.97,12113.046,148812.58,126854.1,1654.586,1539.1031,2570.9287,2906.7283,7823.1865,8593.832,3757.8855,681.1028,3075.8313,778.60315,497.54993,839.7624,36130.906,148.39378,0,170.55235,450.76663,43909.25
PI656119,0,636126.06,1086.4204,561.56506,17784.191,281.55597,1009.8511,2238.1897,7858.915,1423.6179,700.27,11634.741,58738.477,24839.455,48023.426,23985.365,13311.72,457.52747,665.658,905023.2,20532.31,4334635,541860.2,530328.6,97049.27,481186.12,63228.18,136.47571,29645.209,1172.7214,36203.543,15248.987,790.83655,229085.45,14360.248,41814.62,1464715.2,52399.652,590468.25,205999.27,18100.65,10210.599,205763.95,427209.44,34491.996,50469.016,255143.39,11031.774,47197.227,88099.67,1804.5764,979.8467,14901.984,1985.4886,8669.41,1985.4886,22263.7,1193.7036,1519.7013,18219.434,1754.8486,11065.46,40582.21,1354.5564,1071.2562,5700.0635,2665.8315,561.56506
PI651492,62.83737,885882.94,3608.7285,1913.4197,54947.38,618.3132,5866.623,30378.365,32061.756,28932.398,25919.938,3443.265,236427.17,56529.24,222640.67,154750.08,185982.25,1774.2771,54902.67,5843887,22741.385,8213035.5,1348478,1819441.4,574491.4,1494842.1,187522.84,33715.473,124596.14,22897.793,156885.84,133148.44,20663.941,513764.97,34988.715,129397.55,4065208.8,141051.11,14030792,909880.94,18641.58,102801.01,345572.94,1866326.9,82677.664,131581.14,1488684.9,46361.152,431003.78,1180094.8,2583.1768,18297.164,232007.06,28183.975,74947.12,22946.305,84607.46,9038.7,4051.4937,151276.78,14982.516,26017.18,123752.59,20793.037,7919.9307,226213.02,8732.554,1913.4197
PI656060,119.99797,1510507.5,3946.384,13184.1,80556.86,678.5067,3056.9678,11344.584,13281.297,24170.156,3589.6475,10472.106,94566.125,25482.172,93222.6,43310.586,94637.4,2253.8923,4878.7188,2188164,36341.562,6378839.5,350496.94,1213259.1,103813.11,1718894,83598.445,1410.4082,15463.868,6258.7847,49918.535,18576.531,3304.5234,156339.86,16411.316,85736.62,1575103.1,92721.52,4380361,640077.1,13805.726,21000.742,161280.28,991271.2,9978.4375,150028.88,344854.62,25770.703,56502.312,432269.8,8481.323,9427.263,152317.55,4652.507,3433.9705,9442.086,43075.61,985.2732,2629.9963,50922.906,4795.819,11902.962,64744.543,5218.3774,2717.8027,67073.77,4326.121,13184.1
PI534116,53.47393,459655.66,854.8741,5766.9067,36571.973,1033.0143,2400.3066,1775.8289,3442.3923,821.4585,1693.5657,2678.0728,49336.312,14047.742,59949.367,39366.97,55919.945,938.1866,576.6194,1904972.8,82730.83,4603599.5,702015.7,336185.94,62888.617,440892.78,11015.967,434.92822,6826.167,1222.6017,32020.361,16066.069,2210.252,341467.94,12624.389,17516.19,2648568.2,32768.83,1522730,181192.27,13057.698,51415.58,186452.53,262335.25,4503.4766,6737.2036,156799.97,2514.9146,138154.75,82553.83,4286.4473,2414.8176,3445.1592,5781.769,1392.5228,5781.769,9166.409,1482.6377,1701.1569,3591.372,8735.156,1855.5105,48194.08,1572.1516,729.55505,9515.985,4022.377,5766.9067
PI152651,0,495999.16,1409.0768,6756.3374,46805.812,1843.0239,1146.6112,2369.7583,4494.6753,2369.7583,1419.2023,2739.5713,74544.42,1283.7135,51727.43,24579.45,16667,2898.8613,7558.225,2636959,49768.42,3416342,429140.88,211600.31,100786.9,870344.06,55777.03,800.8358,15556.988,1493.5078,49730.266,10324.125,683.5891,351446.47,9472.169,33442.062,2048839.1,45944.086,3022190.5,292511.84,11465.539,22030.797,135352.97,377899.6,9270.491,4741.033,482712.9,10077.29,69401.56,365972,62109.895,3625.676,22431.768,10907.874,18977.455,12577.256,11143.616,702.2671,1918.6162,32948.97,12205.829,10116.871,48167.035,846.65283,1350.326,51952.11,3288.8228,6756.3374
PI533962,339.61594,1120770.6,939.1272,27185.062,277915.34,218.49522,2506.1453,8978.958,14499.449,33464.13,28417.47,301.6977,191835.86,10406.852,89155.78,69636.7,80885.73,2119.6277,14490.043,3109927.8,28020.988,12746103,698822.25,239761.94,240910.95,904728.44,88026.08,1986.3704,12346.206,1569.7858,80370.586,48893.62,6034.023,145212.92,6216.299,29918.488,1703706.1,76768.71,7126740,990934.5,9744.006,14618.53,114855.87,990932.25,39738.016,32367.549,660352.25,4102.916,105688.01,1005233.1,59798.695,5476.1274,104403.78,15829.316,24501.785,22281.55,50957.42,644.1721,3078.559,109910.82,8016.1016,2256.42,48021.453,1390.1282,1250.3796,47875.668,2232.2263,27185.062
PI533821,67.579765,1125498.9,3262.2407,40663.688,46321.145,240.9628,22013.068,457.36316,10703.297,7338.983,16795.375,13039.525,110921.234,41826.066,63677.145,106369.81,103497.586,1475.0715,13292.733,6383086,250752.03,6038877.5,393144.56,15391.348,644410.9,400311.34,938.1428,1139.5876,78866.44,1111.7627,61719.496,5724.414,2026.9314,1413256.1,25917.17,2193730,4833217.5,50860.848,1314442.5,9533.003,553.27954,428587.38,573136.25,339796.25,77189.18,7830.8594,615601.25,15361.059,532383.8,220663.6,7226.533,2278.7134,5997.6895,3851.186,3756.0488,13881.587,7564.139,2287.9346,10725.777,5853.675,4389.4585,3848.854,62648.164,7892.075,431.53302,1125.1597,1218.036,40663.688
PI576339,254.29716,1771656.8,8373.962,10735.78,92515.82,155.36601,5078.1113,1148.4244,8274.458,6575.402,18894.092,21498.588,101769.57,141413.16,37627.53,119366.2,105093.89,8527.117,2831.4883,3406709,806086.06,11070028,657929.06,13332.922,691627.9,584583.9,3471.676,2319.9883,68972.34,824.0854,147868.22,48133.89,2004.4911,349065.16,25382.549,132587.67,3591753.5,70240.19,3161227.2,3944.5488,0,65907.87,426673.84,490911.12,274779.66,12362.9,628265.56,12090.271,589659.06,538541.25,16473.625,3120.9126,58735.25,2472.2676,8866.129,9126.6875,22866.506,1617.5112,8514.842,13953.445,2158.5051,6482.48,76045.01,149.76697,940.1841,819.3651,2152.7205,10735.78
PI597966,541.9858,2154962,12528.067,124937.71,488497.1,2906.4473,7467.158,407.7376,2752.2463,2752.2463,14533.581,8564.914,100743.266,52797.645,57210.418,47543.52,47270.758,2075.4639,4708.3643,5387421,301163.03,4963167.5,327664.1,27640.629,466558.7,148347.06,3347.6392,814.6754,8275.81,1418.273,47059.06,4985.129,432.11707,438093.7,8744.099,157380.88,1099281.4,24733.424,1960609,12546.574,1227.1035,178856.97,250947.81,242397.66,271657.56,2277.7732,282373.44,8670.384,198067.48,262286,5389.522,3337.9287,1724.1721,1501.8843,12125.556,15436.563,5389.774,498.69034,7448.0586,1932.3408,665.9268,1451.5789,36565.246,0,120.45872,240.5415,329.24786,124937.71
