,PC_18_3__0_0,PC_18_2__0_0,PC_15_0__0_0,PC_17_0__0_0_1,PC_18_0__9_0_CHO,PC_17_0__0_0_2,PC_18_3__18_3__PC_14_0__22_6,PC_16_3__16_0_PC_14_0__18_3__PC_16_2__16_1,PC_16_2__18_2__PC_14_0__20_4__PC_16_1__18_3,PC_16_1__20_4__PC_16_0__20_5__PC_18_2__18_3,PC_16_0_20_5,PC_16_1__16_1,PC_16_1__17_2__PC_15_0__18_3__PC_15_1__18_2,PC_17_2__18_2__PC_15_0__20_4,PC_14_0__18_2_PC_16_2__16_0,PC_16_2__18_2__PC_16_1__18_3__PC_14_0__20_4,PC_18_2__18_3__PC_16_0__20_5__PC_16_1__20_4,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_1,PC_16_1__17_2__PC_15_1__18_2__PC_15_0__18_3,PC_16_1__17_1__PC_15_0__18_2,PC_18_2__18_2__PC_16_0__20_4,PC_14_0__18_2__PC_16_2__16_0,PC_16_0__18_3__PC_16_2__18_1,PC_16_0_20_4,PC_16_0__20_5__PC_18_2__18_3__PC_16_1__20_4,PC_18_2__20_4__PC_16_0__22_6_1,PC_16_0__20_3__PC_18_1_18_2__PC_18_1__18_2_2,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_1,PC_16_0__16_1__PC_14_0__18_1_1,PC_16_1__18_2__PC-DAG_16_0__18_3__PC_16_0__18_3,PC_17_1__18_2__PC_15_0__20_3__PC_17_0__18_3_2,PC_16_0__18_1_1_1,PC_18_1__20_4__PC_16_0__22_5__PC_18_3__20_2_2,PC_18_2__20_4__PC_16_0__22_6_2,PC_18_1__18_2__PC_16_0__20_3,PC_16_0__18_2__PC_16_1__18_1,PC_16_0__16_1__PC_14_0__18_1_2,PC_18_2__20_1__PC_18_0__20_3,PC_16_0__18_1_2_1,PC_17_1__18_1__PC_17_0__18_2_1,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2,PC_18_2__20_4__PC_16_0__22_6_3,PC_18_2__20_2__PC_18_0__20_4__C_18_1__20_3__PC_16_0__22_4,PC_16_0__16_0_1,PC_16_0__18_0,PC_18_1__18_2__PC_18_0__18_3__PC_16_0__20_3,PC_17_1__18_1__PC_17_0__18_2_2,PC_16_0__18_1_1_2,PC_16_0__18_1_2_2,PC_18_1__18_1_PC_18_0__18_2,PC_16_0__16_0_2,PC_16_0__18_1_3,PC_18_1__20_1__PC_19_1__19_1__PC_18_2__20_0,PC_18_1__20_4,PC_18_0__18_2__PC_18_1__18_1,PC_18_2__20_1__PC_18_0__20_3_1,PC_17_0__18_1,PC_18_1__18_1__PC_18_0__18_2_1,PC_18_2__20_1__PC_18_0__20_3_2,PC_18_1__19_1,PC_18_0__20_2__PC_19_1__19_1__PC_18_1__20_1__PC_18_2__20_0,PC_18_0__20_2__PC_18_1__20_1__PC_19_1__19_1,PC_18_1__22_1__PC_20_1__20_1__PC_18_2__22_0,PC_19_1__22_1,PC_18_1__24_1__PC_18_2__24_0,PC_18_1__24_0,LPC_18_3
PI576435,0,136322.36,224.77911,53.592342,3073.3186,0,230.99837,730.3394,2307.306,641.3058,2418.0745,571.13513,37510.082,5624.7466,34400.824,33780.125,15964.865,240.77342,206.88312,551917.94,6811.8477,2805922.2,391876.38,104188.93,70448.89,186261.31,3856.8042,503.37756,5271.4766,913.0629,23962.916,5453.045,881.0024,34956.934,3003.9348,19283.477,365392.12,12364.766,851422.1,61317.754,2419.344,4498.7314,54819.57,118408.11,14570.627,6691.385,210807.66,3290.1968,20923.13,64838.953,1878.5248,809.2037,11774.994,3194.2944,2437.8254,3194.2944,4771.379,431.9367,363.9134,6322.8936,667.0271,1563.2094,5549.1567,298.29202,582.5986,10625.922,1777.9382,53.592342
PI659696,0,480672.03,1691.2754,6919.891,38312.562,1001.1608,713.21906,2550.2075,4673.9067,3027.3242,1126.8655,922.9,53345.062,9636.511,89705.914,90177.055,31272.174,522.28296,883.7543,1096008.1,16826.918,2952052.5,79631.4,219575.73,317234.62,647296.7,42940.215,99.28422,6046.3545,870.5665,24296.043,5558.6035,2085.4338,49038.086,2781.0771,5456.8887,738028,50048.22,2417534.5,118700.305,8308.973,32536.059,138369.28,397750.9,29319.756,47712.098,207126.67,6126.6704,26260.69,114996.11,7399.81,4005.861,42807.605,3724.239,3345.8027,3724.239,5440.467,764.4132,2574.9426,28929.184,1702.1753,10320.1455,61051.7,606.86383,1436.1332,2322.4692,1105.8535,6919.891
PI534097,51.281075,537069.3,1121.5636,1915.149,27403.379,9169.024,939.86414,2010.3765,4202.7866,2010.3765,4057.7085,5764.562,99987.07,3481.2515,43999.406,52655.625,81357.03,12269.345,4307.3193,2265152,10254.299,5558318.5,695170.8,253170.3,58570.438,536000.94,9634.116,768.6842,6086.598,10851.607,58800.723,29279.35,1251.633,531143.2,12010.782,35358.74,3165979.2,21490.738,3917470.5,169747.67,18006.615,10717.167,136576.8,664991.6,7605.0376,373465.22,382744.94,2248.004,36302.145,328329.53,34968.016,2834.5217,29971.238,11150.605,12076.328,11550.066,10948.234,570.5864,2931.0989,9335.444,1380.6045,5390.16,36454.582,822.155,1266.1599,55015.906,1016.70154,1915.149
PI656034,0,263479.8,567.5757,1278.3966,38564.098,1066.3157,325.96893,2622.666,2316.292,2622.666,11025.21,1025.7888,61536.13,6375.937,43278.44,41820.12,21984.172,409.66876,4024.7263,984017.6,22693.148,3614951,540797.8,495456.06,152288.34,505824.28,39076.61,514.66864,1970.216,1758.3513,24203.283,7357.492,1017.411,113034.39,1663.3566,32252.766,644198,35708.07,1660747.9,223369.34,5074.753,16532.06,96284.79,565843.94,11567.393,41474.184,296920.94,5810.048,32441.734,165678.5,8399.992,1112.625,19727.908,10711.043,8849.023,1605.5298,7326.356,237.37009,1435.2983,15490.584,1588.8647,1526.8333,3342.0603,1064.8885,467.59998,10755.549,4630.223,1278.3966
PI597982,0,316793.06,545.4348,507.5419,4996.4644,459.27567,870.1003,3067.709,10044.32,1209.2983,1080.643,246.46817,64559.62,13326.901,72255.23,16119.06,39763.605,753.3241,564.9026,1584959.9,68664.36,4262835,316036.75,434873.4,357066.06,426617.66,51901.004,690.3933,5947.115,508.51108,30663.746,21283.984,1755.4363,84963.46,3070.3506,26659.158,874633.56,42888.023,2429663.8,160883.19,6179.132,15700.062,167919.16,403499.88,47338.793,39360.258,311727.9,3866.1394,49747.46,154371.38,20074.475,4688.716,9764.931,2154.4521,2553.721,2154.4521,4414.4023,508.46753,2147.7332,16841.328,3834.6904,9160.11,64942.48,2352.4075,1114.821,4932.8115,5570.56,507.5419
PI655980,0,1694328.9,2533.4712,2249.3284,5485.2407,21956.945,1313.6415,2031.9199,853.896,2031.9199,3027.739,678.1563,15345.672,1776.4701,13702.369,23670.58,26268.93,596.4398,1019.594,2787696.2,39452.14,2997062.8,126384.07,339745.78,161469.66,353614.12,16950.957,125.25485,3290.46,2503.1562,28528.863,6949.7393,571.9823,476732.12,7009.7427,115976.87,1282240,28052.87,2043919.9,305568.62,7776.746,30279.73,105536.48,186459.27,14219.099,8629.824,213814.97,786.9138,183643.03,181713.03,7456.975,1324.9261,9881.233,13742.879,17862.455,7439.136,13083.53,242.52087,613.0532,16575.424,293.14566,399.39597,2835.2305,618.6774,531.8773,1875.5126,627.4433,2249.3284
PI533940,0,973904.5,1239.0868,8413.119,49960.15,81.56566,7228.1113,1991.2178,5503.008,1991.2178,741.083,543.2362,40429.094,5518.921,14500.613,14500.613,13150.278,1284.9707,257.71127,935839.3,21670.463,3174492.8,366129.9,6900.5166,38792.613,192257.77,19331.28,0,3513.816,870.9483,23637.07,12803.569,1371.2236,54041.42,2243.9155,43553.332,519337.06,14234.478,736454.94,98003.234,10511.591,10271.167,95600,102388.71,16863.305,7791.884,132489.28,1576.8187,23726.926,24173.988,683.3423,1072.7606,1329.9407,2286.6965,5029.339,2286.6965,2302.7666,367.63568,557.29004,4382.898,405.7221,1218.3912,30178.982,519.2228,506.35367,3183.5383,6427.1133,8413.119
PI533831,283.48785,399751.56,613.3294,3274.401,9964.96,11980.414,3348.467,1581.8846,3369.0508,1581.8846,6115.976,5094.445,134484.44,7021.746,74210.55,35608.11,58211.926,1599.5408,3629.4553,4948413.5,11436.186,3316292.2,596588.9,606008.5,33585.56,403155.56,32361.895,553.76263,31435.754,20668.893,17972.072,16945.43,2589.059,795679.06,23695.93,63807.27,2416345.8,25751.473,2025521.9,64905.535,12344.681,9661.449,206451.25,202378.64,10025.53,111168.25,319895.2,5566.6196,45832.613,84600.96,2984.8303,4309.829,8439.206,2232.2988,17719.787,15374.513,5714.458,632.68744,2908.5327,7010.18,3075.9292,1147.408,41481.46,603.965,694.644,95712.23,10197.755,3274.401
PI656110,0,1533001.2,1509.7198,43581.39,52958.12,1847.3403,2669.9705,464.84204,1650.0828,1650.0828,611.80237,811.976,20752.54,3890.1858,4156.991,4156.991,5941.1167,481.13223,1435.1125,3296355.5,76638.79,1878706.5,42839.355,22635.465,38745.984,104646.9,5583.8706,132.7847,11121.557,272.90918,16083.432,4455.725,142.3609,443716.25,2504.835,47583.53,1879382.9,526.4363,690440.5,15656.996,25461.32,69900.164,136992,60271.79,17203.89,828.01196,76838.03,1196.0518,83020.484,65029.11,2488.1108,328.69537,313.96704,987.3197,2700.507,987.3197,2821.098,830.2565,582.1866,1074.725,897.817,131.8028,3332.7925,186.37973,77.64381,1246.9235,197.60062,43581.39
PI533943,0,355815.16,640.74365,16458.17,20297.596,842.9022,752.23267,2835.973,1632.4081,1685.3325,913.10803,749.82007,49105.49,11893.595,39445.55,39445.55,3503.358,2493.095,480.8013,3068521.8,105110.48,3293245,31128.523,296323.7,81447.17,367813.4,26813.496,538.13354,9590.723,1015.56665,17818.393,15988.269,462.97113,422473.47,12157.43,18827.78,1608987,17738.93,1870858.2,54096.81,54096.81,11254.258,151607.27,202064.8,8238.142,20168.662,137318.28,2522.7354,103423.46,134197.14,2288.5625,1961.9431,5227.419,4668.5117,9327.518,4668.5117,2216.3323,365.48505,448.86545,1609.8907,2050.6538,8734.182,47371.766,466.5262,982.1077,17961.832,5293.207,16458.17
