,PC_18_2__0_0,PC_18_0__18_3__PC_16_0__20_3__PC_18_1__18_2
PI598070,249.0211,3667.2617
PI533766,584.51,18250.56
PI656091,1633.8524,3926.7205
PI629059,783.36707,947.44116
PI641849,492.27206,3898.286
PI656006,510.28787,4469.874
PI533970,635.13354,4073.2422
PI576359,182.38979,11894.78
PI656052,114.66015,3527.732
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_375_Check_15_Rg132to1500.CE102040.FLO22.S1_Run699.mzML.Peak.area,374.58875,9118.243
PI576401,365.18616,1528.6904
PI533964,270.78088,7343.488
PI534144,175.42792,10766.684
PI597952,681.39594,7324.3506
PI656002,126.3128,3529.544
PI576386,230.82762,45950.7
PI655974,282.91556,2609.0469
PI533901,299.51813,3521.5234
PI659691,676.1785,13466.592
PI656083,3351.8115,2159.8767
PI576426,96.72951,2607.4463
PI655993,180.72089,10471.457
PI656046,125.58453,14230.078
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_295_Check_12_Rg132to1500.CE102040.FLO22.S1_Run536.mzML.Peak.area,10935.446,4514.6465
PI656054,234.27873,13497.356
PI656019,296.10254,3573.608
PI533831,548.0003,2067.0488
PI656064,24430.812,6824.215
PI576130,91.65649,2977.5276
PI642992,193.39159,3866.9258
PI533785,80.08272,44087.387
PI656017,588.5803,3856.0767
PI656021,1366.3584,11540.85
PI656014,160.44467,9098.489
PI656030,399.9293,3143.0698
PI576391,405.4353,69063.49
PI533903,2264.2756,5532.99
PI533913,110476.56,7561.801
PI656041,257.85052,11162.486
PI534128,176.19403,6737.2676
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_242_Check_9_Rg132to1500.CE102040.FLO22.S1_Run434.mzML.Peak.area,313.98874,2948.8887
PI656104,214.35942,7509.482
PI656056,313.09515,1691.5646
PI609456,8142.4375,1438.6727
PI534137,2585.1985,10026.699
PI533967,196.4736,11215.051
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_333_Check_13_Rg132to1500.CE102040.FLO22.S1_Run613.mzML.Peak.area,724.68445,10050.1045
PI533830,76.88328,1793.3794
PI655980,389.73447,12345.263
PI533755,162.40714,3180.4766
PI576339,12774.503,6925.3223
PI552856,136.09773,4334.3574
PI533911,397.39432,24412.979
PI576393,645.511,1270.2623
PI656087,396.04626,1621.6658
PI629040,2436.4004,3023.4314
PI597957,289.62997,2182.2017
PI533758,411.71686,2221.879
PI533869,148.105,2747.6145
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_92_Check_3_Rg132to1500.CE102040.FLO22.S1_Run152.mzML.Peak.area,152.86118,1320.4524
PI597960,742.5711,10586.156
PI641824,5732.138,756.431
PI656000,47672.55,12211.368
PI656059,1052.3026,5278.5654
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_115_Check_5_Rg132to1500.CE102040.FLO22.S1_Run193.mzML.Peak.area,283.0441,1707.3303
PI576345,1555.1726,5002.495
PI533936,296.22363,723.14307
PI655983,217.79245,5065.855
PI534053,679.4368,5476.3267
PI533789,116.04961,2633.3901
PI533839,221.97507,424.51297
PIX20230621_JGI_RRA_508500_Sorgh_final.SetB_EXP120B_C18.LipidV7_USDAY63675_POS_MS2_100_Check_4_Rg132to1500.CE102040.FLO22.S1_Run165.mzML.Peak.area,285.10297,827.53217
PI533878,461.14618,3883.3857
PI533943,1289.8638,11293.955
PI656073,209.47394,11185.074
PI533810,371.3139,9888.318
PI576381,460.3464,3667.2686
PI576399,118.988785,1417.7073
PI653617,263.68243,4110.683
PI642998,375.65594,9375.519
PI597968,0,448.6234
PI656110,95448.9,7555.5796
